Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOR202W,HIS3,,0.98791,0.178,1.02436,0.167,-0.01693,0.178,0
NAHCO3,NAHCO3,YBL032W,HEK2,,1.20614,0.078,1.02847,0.053,0.18984,0.078,0.00007
NAHCO3,NAHCO3,YBL031W,SHE1,,0.95499,0.036,0.94531,0.002,0.01098,0.036,0.00002
NAHCO3,NAHCO3,YBL029W,YBL029W,,1.26784,0.142,1.08164,0.097,0.20434,0.142,0.00038
NAHCO3,NAHCO3,YBL028C,YBL028C,,1.47208,0.179,1.24684,0.128,0.22456,0.179,0.00049
NAHCO3,NAHCO3,YBL027W,RPL19B,,1.31345,0.007,1.05873,0.042,0.26329,0.007,0.00001
NAHCO3,NAHCO3,YBL024W,NCL1,,0.84345,0.036,0.99356,0.03,-0.14338,0.036,0.00002
NAHCO3,NAHCO3,YBL021C,HAP3,,0.77438,0.007,0.79098,0.016,-0.01207,0.007,0.00003
NAHCO3,NAHCO3,YBL019W,APN2,,1.0173,0.013,0.92432,0.025,0.09376,0.013,0.00005
NAHCO3,NAHCO3,YBL017C,PEP1,,1.22736,0.048,1.02651,0.052,0.19143,0.048,0.00002
NAHCO3,NAHCO3,YBL052C,SAS3,,1.18756,0.039,1.0437,0.001,0.14366,0.039,0.00001
NAHCO3,NAHCO3,YBL051C,PIN4,,1.1784,0.098,0.95485,0.009,0.22224,0.098,0.00016
NAHCO3,NAHCO3,YBL049W,MOH1,,1.07283,0.061,1.04783,0.024,0.02162,0.061,0.00005
NAHCO3,NAHCO3,YBL048W,YBL048W,,1.09006,0.062,1.02257,0.01,0.06947,0.062,0.00005
NAHCO3,NAHCO3,YBL047C,EDE1,,1.20641,0.026,1.03274,0.023,0.17676,0.026,0
NAHCO3,NAHCO3,YBL046W,PSY4,,0.85306,0.058,0.96864,0.049,-0.12308,0.058,0.00009
NAHCO3,NAHCO3,YBL043W,ECM13,,0.85956,0.013,0.93676,0.018,-0.06678,0.013,0.00008
NAHCO3,NAHCO3,YBL042C,FUI1,,0.54707,0.025,0.71951,0.024,-0.17449,0.025,0.00002
NAHCO3,NAHCO3,YAL017W,PSK1,,0.92559,0.072,1.05336,0.017,-0.13349,0.072,0.00013
