Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOR202W,HIS3,,0.98791,0.178,1.04016,0.158,-0.00483,0.178,0
NAHCO3,NAHCO3,YBL032W,HEK2,,1.20614,0.078,1.00875,0.021,0.19761,0.078,0.00007
NAHCO3,NAHCO3,YBL031W,SHE1,,0.95499,0.036,0.89638,0.008,0.0626,0.036,0.00002
NAHCO3,NAHCO3,YBL029W,YBL029W,,1.26784,0.142,0.98194,0.017,0.28446,0.142,0.00038
NAHCO3,NAHCO3,YBL028C,YBL028C,,1.47208,0.179,1.08202,0.06,0.39101,0.179,0.00049
NAHCO3,NAHCO3,YBL027W,RPL19B,,1.31345,0.007,1.05772,0.027,0.25772,0.007,0.00001
NAHCO3,NAHCO3,YBL024W,NCL1,,0.84345,0.036,0.95776,0.022,-0.11506,0.036,0.00002
NAHCO3,NAHCO3,YBL021C,HAP3,,0.77438,0.007,0.82131,0.024,-0.05038,0.007,0.00003
NAHCO3,NAHCO3,YBL019W,APN2,,1.0173,0.013,0.95789,0.019,0.06197,0.013,0.00005
NAHCO3,NAHCO3,YBL017C,PEP1,,1.22736,0.048,1.13698,0.046,0.09001,0.048,0.00002
NAHCO3,NAHCO3,YBL052C,SAS3,,1.18756,0.039,0.99587,0.01,0.19444,0.039,0.00001
NAHCO3,NAHCO3,YBL051C,PIN4,,1.1784,0.098,1.03688,0.011,0.13844,0.098,0.00016
NAHCO3,NAHCO3,YBL049W,MOH1,,1.07283,0.061,1.04734,0.009,0.02155,0.061,0.00005
NAHCO3,NAHCO3,YBL048W,YBL048W,,1.09006,0.062,0.98866,0.025,0.10232,0.062,0.00005
NAHCO3,NAHCO3,YBL047C,EDE1,,1.20641,0.026,1.06655,0.025,0.13252,0.026,0
NAHCO3,NAHCO3,YBL046W,PSY4,,0.85306,0.058,0.97102,0.018,-0.11689,0.058,0.00009
NAHCO3,NAHCO3,YBL043W,ECM13,,0.85956,0.013,0.97801,0.006,-0.11987,0.013,0.00008
NAHCO3,NAHCO3,YBL042C,FUI1,,0.54707,0.025,0.7113,0.017,-0.16292,0.025,0.00002
NAHCO3,NAHCO3,YAL017W,PSK1,,0.92559,0.072,1.04017,0.045,-0.12443,0.073,0.00013
NAHCO3,NAHCO3,YBL039C,URA7,,1.14413,0.061,0.99565,0.044,0.1483,0.061,0.00004
NAHCO3,NAHCO3,YBL037W,APL3,,1.05683,0.037,1.1004,0.005,-0.04425,0.037,0.00001
